Type of paddle: Piston - Regular
Movement direction: (1:0:0) [m]
Start time: 0 [s]  (end: 8 [s])
Particles: 282 - 304
Depth: 0.4 [m]
InitialPhase: 0 times PI
InitialRamp: 0 periods
WaveOrder: 2nd
WaveHeight: 0.1 [m]
WavePeriod: 1.2 [s]
WaveLength: 1.93625 [m]
Relative depth (d/L): 0.206585  (Transitional water)
GainStroke: 1
Stroke: 0.0806616
Amplitude: 0.0403308 [m]
SaveMotion: [time:12 [s]  dt:0.06 [s]  xpos:2.5 [m]  zpos:-0.15 [m]]

Time [s];Position [m];Elevation_o1 [m];Elevation_o2 [m];Velx_o1 [m/s];Velz_o1 [m/s];Velx_o2 [m/s];Velz_o2 [m/s]
0.000000;0.000000;-0.012786;-0.019019;-0.053240;0.134909;-0.062080;0.130258
0.060000;0.012279;0.002777;-0.004350;0.011562;0.139334;0.001455;0.140377
0.120000;0.023409;0.018068;0.012770;0.075233;0.130120;0.067719;0.136459
0.180000;0.032331;0.031590;0.030144;0.131539;0.108168;0.129488;0.117382
0.240000;0.038173;0.042021;0.044979;0.174969;0.075629;0.179165;0.084198
0.300000;0.040331;0.048337;0.054570;0.201272;0.035686;0.210112;0.040337
0.360000;0.038541;0.049923;0.057049;0.207873;-0.007750;0.217980;-0.008793
0.420000;0.032926;0.046621;0.051919;0.194127;-0.050427;0.201640;-0.056766
0.480000;0.024003;0.038756;0.040202;0.161377;-0.088168;0.163428;-0.097382
0.540000;0.012647;0.027097;0.024139;0.112831;-0.117279;0.108635;-0.125848
0.600000;0.000000;0.012786;0.006553;0.053240;-0.134909;0.044401;-0.139561
0.660000;-0.012647;-0.002777;-0.009903;-0.011562;-0.139334;-0.021669;-0.138291
0.720000;-0.024003;-0.018068;-0.023366;-0.075233;-0.130120;-0.082746;-0.123781
0.780000;-0.032926;-0.031590;-0.033036;-0.131539;-0.108168;-0.133589;-0.098955
0.840000;-0.038541;-0.042021;-0.039062;-0.174969;-0.075629;-0.170773;-0.067060
0.900000;-0.040331;-0.048337;-0.042105;-0.201272;-0.035686;-0.192433;-0.031035
0.960000;-0.038173;-0.049923;-0.042796;-0.207873;0.007750;-0.197766;0.006707
1.020000;-0.032331;-0.046621;-0.041323;-0.194127;0.050427;-0.186613;0.044088
1.080000;-0.023409;-0.038756;-0.037310;-0.161377;0.088168;-0.159327;0.078955
1.140000;-0.012279;-0.027097;-0.030056;-0.112831;0.117279;-0.117027;0.108710
1.200000;0.000000;-0.012786;-0.019019;-0.053240;0.134909;-0.062080;0.130258
1.260000;0.012279;0.002777;-0.004350;0.011562;0.139334;0.001455;0.140377
1.320000;0.023409;0.018068;0.012770;0.075233;0.130120;0.067719;0.136459
